URL,Brand,Item Type,Size,Price,Original Price,Material,Condition,Item ID
https://www.thredup.com/product/women-polyester-alfani-black-casual-dress/120120790?query_id=622956317577658368&result_id=622956318101946368,Alfani,Casual Dress,Size 14 ,$17.59,$71,100% Polyester,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #120120790
https://www.thredup.com/product/women-polyester-velvet-teal-casual-dress/120220778?query_id=622956317577658368&result_id=622956318101946368,Velvet,Casual Dress,Size M ,,$13.99,100% Polyester,This item is brand new with tags still attached.,Item #120220778
https://www.thredup.com/product/women-polyester-yoins-black-casual-dress/120379041?query_id=622956317577658368&result_id=622956318101946368,YOINS,Casual Dress,Size XL ,,$30,"95% Polyester, 5% Spandex",This item is brand new with tags still attached.,Item #120379041
https://www.thredup.com/product/women-spandex-j-mclaughlin-blue-casual-dress/120298305?query_id=622956317577658368&result_id=622956318101946368,J. McLaughlin,Casual Dress,Size XL ,,$225,"5% Spandex, 95% Rayon",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #120298305
https://www.thredup.com/product/women-silk-bcbgmaxazria-blue-casual-dress/120831730?query_id=622956317577658368&result_id=622956318101946368,BCBGMAXAZRIA,Casual Dress,Size XS ,$30.44,$268,100% Silk,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #120831730
https://www.thredup.com/product/women-acrylic-susana-monaco-ivory-casual-dress/110330080?query_id=622956317577658368&result_id=622956318101946368,Susana Monaco,Casual Dress,Size XS ,$14.39,$143,"50% Acrylic, 25% Wool, 25% Nylon",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #110330080
https://www.thredup.com/product/women-cotton-karen-scott-black-casual-dress/104688756?query_id=622956317577658368&result_id=622956318101946368,Karen Scott,Casual Dress,Size S ,,,100% Cotton,This item is brand new with tags still attached.,Item #104688756
https://www.thredup.com/product/women-cotton-moda-international-blue-casual-dress/120752152?query_id=622956317577658368&result_id=622956318101946368,Moda International,Casual Dress,Size M ,$11.40,$48,"95% Cotton, 5% Spandex",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #120752152
https://www.thredup.com/product/women-rayon-angie-black-casual-dress/112932957?query_id=622956317577658368&result_id=622956318101946368,Angie,Casual Dress,Size S ,$13.19,$68,100% Rayon,"This item is in excellent condition with only light signs of wear, if any.",Item #112932957
https://www.thredup.com/product/women-rayon-carmen-marc-valvo-black-black-and-blush-stroke-dress/112491392?query_id=622956317577658368&result_id=622956318101946368,Carmen Marc Valvo,Black and Blush Stroke Dress,Size 8 ,$37.79,$495,"90% Rayon, 10% Spandex","This item is in good condition with minor signs of wear: minor wear on fabric, minor hole.",Item #112491392
https://www.thredup.com/product/women-cotton-ann-taylor-blue-casual-dress/111878898?query_id=622956317577658368&result_id=622956318101946368,Ann Taylor,Casual Dress,Size XS ,$12.59,$129,"43% Cotton, 22% Modal, 17% Polyester, 12% Nylon, 6% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #111878898
https://www.thredup.com/product/women-rayon-ann-taylor-black-casual-dress/111835143?query_id=622956317577658368&result_id=622956318101946368,Ann Taylor,Casual Dress,Size 0 ,$13.19,$129,"68% Rayon, 28% Nylon, 4% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #111835143
https://www.thredup.com/product/women-viscose-design-history-pink-casual-dress/119606559?query_id=622956317577658368&result_id=622999092444651522,Design History,Casual Dress,Size M ,$24.95,$143,100% Viscose,"This item is in excellent condition with only light signs of wear, if any.",Item #119606559
https://www.thredup.com/product/women-polyester-my-michelle-ivory-cocktail-dress/118769130?query_id=622956317577658368&result_id=622999092444651522,My Michelle,Cocktail Dress,Size S ,$17.59,$60,100% Polyester,"This item is in excellent condition with only light signs of wear, if any.",Item #118769130
https://www.thredup.com/product/women-polyester-copper-key-orange-casual-dress/119541446?query_id=622956317577658368&result_id=622999092444651522,Copper Key,Casual Dress,Size L ,$7.99,$24,"95% Polyester, 5% Spandex",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119541446
https://www.thredup.com/women/dresses?department_tags=women&category_tags=dresses&page=2,,,,,,,,
https://www.thredup.com/product/women-rayon-illa-illa-white-casual-dress/119763276?query_id=622956317577658368&result_id=622956318101946368,Illa Illa,Casual Dress,Size S ,$14.79,$48,100% Rayon,"This item is in excellent condition with only light signs of wear, if any.",Item #119763276
https://www.thredup.com/product/women-rayon-old-navy-black-casual-dress/119620620?query_id=622956317577658368&result_id=622956318101946368,Old Navy,Casual Dress,Size L ,$15.99,$40,"95% Rayon, 5% Spandex",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119620620
https://www.thredup.com/product/women-polyester-asos-black-casual-dress/119541637?query_id=622956317577658368&result_id=622956318101946368,ASOS,Casual Dress,Size 6 ,$17.51,$48,100% Polyester,"This item is in excellent condition with only light signs of wear, if any.",Item #119541637
https://www.thredup.com/product/women-polyester-emery-rose-black-casual-dress/119613023?query_id=622956317577658368&result_id=622956318101946368,Emery Rose,Casual Dress,Size XS ,$18.31,$48,"92% Polyester, 8% Spandex",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119613023
https://www.thredup.com/product/women-bb-dakota-red-casual-dress/119763547?query_id=622956317577658368&result_id=622956318101946368,BB Dakota,Casual Dress,Size 4 ,$17.51,$95,Material unknown,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119763547
https://www.thredup.com/product/women-polyester-bcbgmaxazria-black-cocktail-dress/119964802?query_id=622956317577658368&result_id=622956318101946368,BCBGMAXAZRIA,Cocktail Dress,Size 2 ,$45.59,$338,100% Polyester,"This item is in excellent condition with only light signs of wear, if any.",Item #119964802
https://www.thredup.com/product/women-cotton-halogen-orange-casual-dress/119610168?query_id=622956317577658368&result_id=622956318101946368,Halogen,Casual Dress,Size L ,$16.71,$95,100% Cotton,"This item is in excellent condition with only light signs of wear, if any.",Item #119610168
https://www.thredup.com/product/women-rayon-mossimo-blue-casual-dress/119611327?query_id=622956317577658368&result_id=622956318101946368,Mossimo,Casual Dress,Size L ,$7.19,$24,100% Rayon,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119611327
https://www.thredup.com/product/women-cotton-unbranded-ivory-casual-dress/119964257?query_id=622956317577658368&result_id=622956318101946368,Unbranded,Casual Dress,Size S ,$18.15,$48,"65% Cotton, 35% Polyester",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119964257
https://www.thredup.com/product/women-polyester-forever-21-black-romper/119763715?query_id=622956317577658368&result_id=622956318101946368,Forever 21,Romper,Size M ,$7.99,$20,100% Polyester,"This item is in excellent condition with only light signs of wear, if any.",Item #119763715
https://www.thredup.com/product/women-rayon-wild-fable-pink-romper/119841478?query_id=622956317577658368&result_id=622956318101946368,Wild Fable,Romper,Size XS ,$7.99,$30,100% Rayon,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119841478
https://www.thredup.com/product/women-triacetate-elie-tahari-purple-casual-dress/119625935?query_id=622956317577658368&result_id=622956318101946368,Elie Tahari,Casual Dress,Size 6 ,$50.39,$348,"94% Triacetate, 6% Elastane",This item is brand new with tags still attached.,Item #119625935
https://www.thredup.com/product/women-rayon-pink-rose-black-casual-dress/119735806?query_id=622956317577658368&result_id=622956318101946368,Pink Rose,Casual Dress,Size M ,$7.99,$36,100% Rayon,"This item is in excellent condition with only light signs of wear, if any.",Item #119735806
https://www.thredup.com/product/women-viscose-h-and-m-black-casual-dress/119553247?query_id=622956317577658368&result_id=622956318101946368,H&M,Casual Dress,Size 12 ,$9.59,$30,100% Viscose,"This item is in excellent condition with only light signs of wear, if any.",Item #119553247
https://www.thredup.com/product/women-silk-escada-yellow-casual-dress/119589055?query_id=622956317577658368&result_id=622956318101946368,Escada,Casual Dress,Size 32 (EU) ,$57.59,$495,100% Silk,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119589055
https://www.thredup.com/product/women-rayon-lularoe-purple-casual-dress/119596308?query_id=622956317577658368&result_id=622956318101946368,Lularoe,Casual Dress,Size M ,$18.87,$48,"55% Rayon, 42% Polyester, 3% Spandex",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119596308
https://www.thredup.com/product/women-polyester-topshop-ivory-romper/119758725?query_id=622956317577658368&result_id=622956318101946368,Topshop,Romper,Size 6 ,$25.91,$96,100% Polyester,This item is in good condition with minor signs of wear: minor stain.,Item #119758725
https://www.thredup.com/product/women-rayon-rolla-coster-red-casual-dress/119701009?query_id=622956317577658368&result_id=622956318101946368,Rolla Coster,Casual Dress,Size S ,$15.91,$36,"95% Rayon, 5% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119701009
https://www.thredup.com/product/women-rayon-old-navy-yellow-casual-dress/119595052?query_id=622956317577658368&result_id=622956318101946368,Old Navy,Casual Dress,Size XS ,$18.71,$40,100% Rayon,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119595052
https://www.thredup.com/product/women-cotton-aerie-purple-casual-dress/118698380?query_id=622956317577658368&result_id=622956318101946368,Aerie,Casual Dress,Size L ,$14.63,$48,100% Cotton,"This item is in excellent condition with only light signs of wear, if any.",Item #118698380
https://www.thredup.com/product/women-rayon-torrid-black-casual-dress/119617470?query_id=622956317577658368&result_id=622956318101946368,Torrid,Casual Dress,Size Med Plus (00) (Plus) ,$16.95,$62,"61% Rayon, 33% Nylon, 6% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119617470
https://www.thredup.com/product/women-rayon-no-comment-pink-romper/119592232?query_id=622956317577658368&result_id=622956318101946368,No Comment,Romper,Size XL ,$17.43,$60,100% Rayon,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119592232
https://www.thredup.com/product/women-polyester-one-clothing-blue-casual-dress/119626752?query_id=622956317577658368&result_id=622956318101946368,One Clothing,Casual Dress,Size M ,$10.95,$36,100% Polyester,"This item is in excellent condition with only light signs of wear, if any.",Item #119626752
https://www.thredup.com/product/women-nylon-guess-green-cocktail-dress/118959887?query_id=622956317577658368&result_id=622956318101946368,Guess,Cocktail Dress,Size L ,$18.15,$89,"86% Nylon, 14% Spandex",This item is brand new with tags still attached.,Item #118959887
https://www.thredup.com/product/women-cotton-leith-pink-casual-dress/119736321?query_id=622956317577658368&result_id=622956318101946368,Leith,Casual Dress,Size XL ,$27.51,$119,100% Cotton,This item is brand new with tags still attached.,Item #119736321
https://www.thredup.com/product/women-ann-taylor-maroon-casual-dress/119614085?query_id=622956317577658368&result_id=622956318101946368,Ann Taylor,Casual Dress,Size 6 ,$23.19,$129,Material unknown,"This item is in excellent condition with only light signs of wear, if any.",Item #119614085
https://www.thredup.com/product/women-cotton-ellos-black-casual-dress/119722630?query_id=622956317577658368&result_id=622956318101946368,Ellos,Casual Dress,Size 28 (Plus) ,$14.79,$36,100% Cotton,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119722630
https://www.thredup.com/product/women-rayon-gap-black-casual-dress/119639786?query_id=622956317577658368&result_id=622956318101946368,Gap,Casual Dress,Size L ,$13.03,$70,"87% Rayon, 8% Polyester, 5% Spandex",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119639786
https://www.thredup.com/product/women-viscose-sugar-lips-pink-casual-dress/119628056?query_id=622956317577658368&result_id=622956318101946368,Sugar Lips,Casual Dress,Size M ,$24.63,$68,"52% Viscose, 48% Rayon","This item is in excellent condition with only light signs of wear, if any.",Item #119628056
